degree,section,course_code,course_name
Bachelor of Business,Program electives - Procurement and Supply Chain Management major,IBUS2000,International Business Environment
Bachelor of Business,Program electives - Procurement and Supply Chain Management major,IBUS2002,International Human Resource Management
Bachelor of Business,Program electives - Project Management major,PROJ3001,Project Procurement and Resourcing
Bachelor of Business,Program electives - Project Management major,PROJ3004,Leadership in Stakeholder Management
Bachelor of Business,Progam electives -  Marketing and Communication major,MARK3023,Service Design and Marketing
Bachelor of Business,Program electives - Marketing and Design major,MARK3023,Service Design and Marketing
"Bachelor of Business (Economics, Finance and Trade)",Electives,ACCT1005,UO Accounting for Business
"Bachelor of Business (Economics, Finance and Trade)",Electives,BUSI1030,UO Career Development in Business
"Bachelor of Business (Economics, Finance and Trade)",Electives,ECON1010,UO Principles of Economics
"Bachelor of Business (Economics, Finance and Trade)",Electives,ECON1011,UO Macroeconomics
"Bachelor of Business (Economics, Finance and Trade)",Electives,LAWS1018,UO Business Law
"Bachelor of Business (Economics, Finance and Trade)",Electives,MARK1013,UO Marketing Principles: Trading and Exchange
"Bachelor of Business (Economics, Finance and Trade)",Electives,MATH1028,UO Quantitative Methods for Business
"Bachelor of Business (Economics, Finance and Trade)",Electives,BAFI2025,UO Business Finance
"Bachelor of Business (Economics, Finance and Trade)",Electives,BUSI2019,UO Management and Organisation
"Bachelor of Business (Economics, Finance and Trade)",Electives,BUSI2021,UO Entrepreneurship for Social and Market Impact
"Bachelor of Business (Economics, Finance and Trade)",Electives,ECON2007,UO Economic Analysis of Business Decisions
"Bachelor of Business (Economics, Finance and Trade)",Electives,ECON2008,UO Empirical Business Analysis
"Bachelor of Business (Economics, Finance and Trade)",Electives,ECON2009,UO Growth Development and the Macroeconomy
"Bachelor of Business (Economics, Finance and Trade)",Electives,BAFI3010,UO Portfolio and Fund Management
"Bachelor of Business (Economics, Finance and Trade)",Electives,BAFI3013,UO International Currency and Banking Markets
"Bachelor of Business (Economics, Finance and Trade)",Electives,BUSI3034,UO Strategic Financial Analysis
"Bachelor of Business (Economics, Finance and Trade)",Electives,ECON3007,UO Economics of Public Policy
