degree_name,course_code,course_name,stream_clean
Bachelor of Business majoring in Marketing,MARK1000,Marketing Principles,Program Core
Bachelor of Business majoring in Marketing,BUSI1001,Business Law,Program Core
Bachelor of Business majoring in Marketing,BUSI2002,"Negotiation, Conflict Management and Resolution",Program Core
Bachelor of Business majoring in Marketing,BUSI3013,Strategic Management,Program Core
Bachelor of Business majoring in Marketing,ECON1000,Principles of Economics,Program Core
Bachelor of Business majoring in Marketing,MDIA2021,Research Methods in Media and Communication,Program Core
Bachelor of Business majoring in Marketing,MDIA2022,"Media Law, Policy and Ethics",Program Core
Bachelor of Business majoring in Marketing,MDIA2102,Promotional Culture,Program Core
Bachelor of Business majoring in Marketing,MDIA3017,Strategic Planning for Media and Communication,Program Core
Bachelor of Business majoring in Marketing,GRAP1004,Digital Design Principles and Methods,Program Core
Bachelor of Business majoring in Marketing,PROJ1000,Foundations of Project Management,Program Core
Bachelor of Business majoring in Marketing,PROJ1001,Scheduling and Cost Management,Program Core
Bachelor of Business majoring in Marketing,PROJ3006,Project Logistics and Supply Chains,Program Core
Bachelor of Business majoring in Marketing and Design,ACCT1000,Accounting for Decision Makers,Program Core
Bachelor of Business majoring in Marketing and Design,BUSI1002,"Management, Organisations and Leadership",Program Core
Bachelor of Business majoring in Marketing and Design,BUSI2001,"Emerging Technologies, Data and Business Analytics",Program Core
Bachelor of Business majoring in Marketing and Design,MARK1000,Marketing Principles,Program Core
Bachelor of Business majoring in Marketing and Design,BUSI1001,Business Law,Program Core
Bachelor of Business majoring in Marketing and Design,BUSI2002,"Negotiation, Conflict Management and Resolution",Program Core
Bachelor of Business majoring in Marketing and Design,BUSI3013,Strategic Management,Program Core
Bachelor of Business majoring in Marketing and Design,ECON1000,Principles of Economics,Program Core
Bachelor of Business majoring in Marketing and Design,MDIA2021,Research Methods in Media and Communication,Program Core
Bachelor of Business majoring in Marketing and Design,MDIA2022,"Media Law, Policy and Ethics",Program Core
Bachelor of Business majoring in Marketing and Design,MDIA2102,Promotional Culture,Program Core
Bachelor of Business majoring in Marketing and Design,MDIA3017,Strategic Planning for Media and Communication,Program Core
Bachelor of Business majoring in Marketing and Design,GRAP1004,Digital Design Principles and Methods,Program Core
Bachelor of Business majoring in Marketing and Design,PROJ1000,Foundations of Project Management,Program Core
Bachelor of Business majoring in Marketing and Design,PROJ1001,Scheduling and Cost Management,Program Core
Bachelor of Business majoring in Marketing and Design,PROJ3006,Project Logistics and Supply Chains,Program Core
Bachelor of Business majoring in Procurement and Supply Chain Management,ACCT1000,Accounting for Decision Makers,Program Core
Bachelor of Business majoring in Procurement and Supply Chain Management,BUSI1002,"Management, Organisations and Leadership",Program Core
Bachelor of Business majoring in Procurement and Supply Chain Management,BUSI2001,"Emerging Technologies, Data and Business Analytics",Program Core
Bachelor of Business majoring in Procurement and Supply Chain Management,MARK1000,Marketing Principles,Program Core
Bachelor of Business majoring in Procurement and Supply Chain Management,BUSI1001,Business Law,Program Core
Bachelor of Business majoring in Procurement and Supply Chain Management,BUSI2002,"Negotiation, Conflict Management and Resolution",Program Core
Bachelor of Business majoring in Procurement and Supply Chain Management,BUSI3013,Strategic Management,Program Core
Bachelor of Business majoring in Procurement and Supply Chain Management,ECON1000,Principles of Economics,Program Core
Bachelor of Business majoring in Procurement and Supply Chain Management,MDIA2021,Research Methods in Media and Communication,Program Core
Bachelor of Business majoring in Procurement and Supply Chain Management,MDIA2022,"Media Law, Policy and Ethics",Program Core
Bachelor of Business majoring in Procurement and Supply Chain Management,MDIA2102,Promotional Culture,Program Core
Bachelor of Business majoring in Procurement and Supply Chain Management,MDIA3017,Strategic Planning for Media and Communication,Program Core
Bachelor of Business majoring in Procurement and Supply Chain Management,GRAP1004,Digital Design Principles and Methods,Program Core
Bachelor of Business majoring in Procurement and Supply Chain Management,PROJ1000,Foundations of Project Management,Program Core
Bachelor of Business majoring in Procurement and Supply Chain Management,PROJ1001,Scheduling and Cost Management,Program Core
Bachelor of Business majoring in Procurement and Supply Chain Management,PROJ3006,Project Logistics and Supply Chains,Program Core
Bachelor of Business majoring in Project Management,ACCT1000,Accounting for Decision Makers,Program Core
Bachelor of Business majoring in Project Management,BUSI1002,"Management, Organisations and Leadership",Program Core
Bachelor of Business majoring in Project Management,BUSI2001,"Emerging Technologies, Data and Business Analytics",Program Core
Bachelor of Business majoring in Project Management,MARK1000,Marketing Principles,Program Core
Bachelor of Business majoring in Project Management,BUSI1001,Business Law,Program Core
Bachelor of Business majoring in Project Management,BUSI2002,"Negotiation, Conflict Management and Resolution",Program Core
Bachelor of Business majoring in Project Management,BUSI3013,Strategic Management,Program Core
Bachelor of Business majoring in Project Management,ECON1000,Principles of Economics,Program Core
Bachelor of Business majoring in Project Management,MDIA2021,Research Methods in Media and Communication,Program Core
Bachelor of Business majoring in Project Management,MDIA2022,"Media Law, Policy and Ethics",Program Core
Bachelor of Business majoring in Project Management,MDIA2102,Promotional Culture,Program Core
Bachelor of Business majoring in Project Management,MDIA3017,Strategic Planning for Media and Communication,Program Core
Bachelor of Business majoring in Project Management,GRAP1004,Digital Design Principles and Methods,Program Core
Bachelor of Business majoring in Project Management,PROJ1000,Foundations of Project Management,Program Core
Bachelor of Business majoring in Project Management,PROJ1001,Scheduling and Cost Management,Program Core
Bachelor of Business majoring in Project Management,PROJ3006,Project Logistics and Supply Chains,Program Core
Bachelor of Commerce majoring in Accounting,ACCT1000,Accounting for Decision Makers,Program Core
Bachelor of Commerce majoring in Accounting,BAFI1001,Business Finance,Program Core
Bachelor of Commerce majoring in Accounting,BUSI1001,Business Law,Program Core
Bachelor of Commerce majoring in Accounting,BUSI1002,"Management, Organisations and Leadership",Program Core
Bachelor of Commerce majoring in Accounting,ECON1012,Data Analytics,Program Core
Bachelor of Commerce majoring in Accounting,BUSI1009,Predictive and Visual Analytics for Managers and Consultants,Program Core
